Symbol,Name,Last_Sale,Net_Change,Percent_Change,Market_Cap,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$227.79 ,0.27,0.12%,3.46335E+12,33993269,Technology,Computer Manufacturing
MSFT,Microsoft Corporation Common Stock,$428.02 ,-3.29,-0.76%,3.18149E+12,14888575,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$121.40 ,-2.64,-2.13%,2.97794E+12,270148563,Technology,Semiconductors
GOOG,Alphabet Inc. Class C Capital Stock,$165.29 ,1.46,0.89%,2.03472E+12,13592915,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$163.95 ,1.22,0.75%,2.01822E+12,21094220,Technology,Computer Software: Programming Data Processing
AMZN,Amazon.com Inc. Common Stock,$187.97 ,-3.19,-1.67%,1.97285E+12,35964848,Consumer Discretionary,Catalog/Specialty Distribution
META,Meta Platforms Inc. Class A Common Stock,$567.36 ,-0.48,-0.09%,1.43532E+12,9393361,Technology,Computer Software: Programming Data Processing
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$177.97 ,-8.86,-4.74%,9.23026E+11,17881464,Technology,Semiconductors
LLY,Eli Lilly and Company Common Stock,$877.79 ,-31.53,-3.47%,8.34274E+11,4374055,Health Care,Biotechnology: Pharmaceutical Preparations
TSLA,Tesla Inc. Common Stock,$260.46 ,6.24,2.46%,8.32076E+11,70727635,Consumer Discretionary,Auto Manufacturing
AVGO,Broadcom Inc. Common Stock,$172.69 ,-5.4,-3.03%,8.06562E+11,20570199,Technology,Semiconductors
WMT,Walmart Inc. Common Stock,$79.78 ,-0.14,-0.18%,6.41292E+11,11891258,Consumer Discretionary,Department/Specialty Retail Stores
JPM,JP Morgan Chase & Co. Common Stock,$210.50 ,0.72,0.34%,5.98907E+11,7031847,Finance,Major Banks
NVO,Novo Nordisk A/S Common Stock,$120.76 ,-3.54,-2.85%,5.38859E+11,9653603,Health Care,Biotechnology: Pharmaceutical Preparations
UNH,UnitedHealth Group Incorporated Common Stock (DE),$581.85 ,7.04,1.23%,5.37291E+11,2986231,Health Care,Medical Specialities
XOM,Exxon Mobil Corporation Common Stock,$115.82 ,3.02,2.68%,5.14568E+11,15961919,Energy,Integrated oil Companies
V,Visa Inc.,$275.17 ,3.48,1.28%,5.01444E+11,6508461,Consumer Discretionary,Business Services
ORCL,Oracle Corporation Common Stock,$168.74 ,0.64,0.38%,4.67573E+11,8971718,Technology,Computer Software: Prepackaged Software
MA,Mastercard Incorporated Common Stock,$493.64 ,2.37,0.48%,4.56042E+11,2177212,Consumer Discretionary,Business Services
PG,Procter & Gamble Company (The) Common Stock,$173.55 ,0.34,0.20%,4.08546E+11,4599462,Consumer Discretionary,Package Goods/Cosmetics
HD,Home Depot Inc. (The) Common Stock,$399.53 ,2.83,0.71%,3.96851E+11,2451548,Consumer Discretionary,RETAIL: Building Materials
COST,Costco Wholesale Corporation Common Stock,$885.62 ,-15.82,-1.76%,3.92626E+11,3457826,Consumer Discretionary,Department/Specialty Retail Stores
JNJ,Johnson & Johnson Common Stock,$161.40 ,0.01,0.01%,3.88529E+11,7553756,Health Care,Biotechnology: Pharmaceutical Preparations
ABBV,AbbVie Inc. Common Stock,$194.79 ,2.89,1.51%,3.44066E+11,4891756,Health Care,Biotechnology: Pharmaceutical Preparations
ASML,ASML Holding N.V. New York Registry Shares,$841.54 ,-10.9,-1.28%,3.3108E+11,1038066,Technology,Industrial Machinery/Components
KO,Coca-Cola Company (The) Common Stock,$71.79 ,0.39,0.55%,3.09405E+11,11171667,Consumer Staples,Beverages (Production/Distribution)
BAC,Bank of America Corporation Common Stock,$39.40 ,-0.12,-0.30%,3.05727E+11,27848471,Finance,Major Banks
NFLX,Netflix Inc. Common Stock,$707.35 ,-4.08,-0.57%,3.0357E+11,2395149,Consumer Discretionary,Consumer Electronics/Video Chains
MRK,Merck & Company Inc. Common Stock (new),$113.69 ,0.6,0.53%,2.88182E+11,11918918,Health Care,Biotechnology: Pharmaceutical Preparations
SAP,SAP  SE ADS,$228.00 ,-0.11,-0.05%,2.66128E+11,618066,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation Common Stock,$145.49 ,3.5,2.47%,2.66089E+11,8047176,Energy,Integrated oil Companies
AMD,Advanced Micro Devices Inc. Common Stock,$164.35 ,-3.14,-1.88%,2.65997E+11,27837001,Technology,Semiconductors
CRM,Salesforce Inc. Common Stock,$276.64 ,0.88,0.32%,2.64468E+11,5218703,Technology,Computer Software: Prepackaged Software
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$107.33 ,2.26,2.15%,2.61203E+11,50027090,Consumer Discretionary,Business Services
TM,Toyota Motor Corporation Common Stock,$182.82 ,-6.54,-3.45%,2.46335E+11,574945,Consumer Discretionary,Auto Manufacturing
AZN,AstraZeneca PLC American Depositary Shares,$77.62 ,-0.56,-0.72%,2.40666E+11,3172250,Health Care,Biotechnology: Pharmaceutical Preparations
TMUS,T-Mobile US Inc. Common Stock,$205.18 ,1.93,0.95%,2.39401E+11,3156846,Telecommunications,Telecommunications Equipment
NVS,Novartis AG Common Stock,$115.61 ,0,0.00%,2.36311E+11,919170,Health Care,Biotechnology: Pharmaceutical Preparations
TMO,Thermo Fisher Scientific Inc Common Stock,$614.42 ,-4.91,-0.79%,2.34706E+11,871042,Industrials,Industrial Machinery/Components
PEP,PepsiCo Inc. Common Stock,$170.00 ,0.31,0.18%,2.33507E+11,7545789,Consumer Staples,Beverages (Production/Distribution)
CCZ,Comcast Holdings ZONES,$60.05 ,0.9,1.52%,2.32544E+11,23279,Telecommunications,Cable & Other Pay Television Services
LIN,Linde plc Ordinary Shares,$479.51 ,-2.17,-0.45%,2.28967E+11,1252527,Industrials,Major Chemicals
ADBE,Adobe Inc. Common Stock,$515.48 ,0.1,0.02%,2.26914E+11,2717731,Technology,Computer Software: Prepackaged Software
ACN,Accenture plc Class A Ordinary Shares (Ireland),$349.70 ,-6.11,-1.72%,2.19155E+11,2575175,Consumer Discretionary,Business Services
MCD,McDonald's Corporation Common Stock,$303.69 ,0.04,0.01%,2.1785E+11,3402772,Consumer Discretionary,Restaurants
CSCO,Cisco Systems Inc. Common Stock (DE),$53.02 ,0.17,0.32%,2.11589E+11,13868259,Telecommunications,Computer Communications Equipment
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$66.11 ,0.77,1.18%,2.06974E+11,4086143,Energy,Oil & Gas Production
IBM,International Business Machines Corporation Common Stock,$220.84 ,-2.59,-1.16%,2.03426E+11,3829562,Technology,Computer Manufacturing
GE,GE Aerospace Common Stock,$185.38 ,0.79,0.43%,2.0101E+11,4452463,Technology,Consumer Electronics/Appliances
DHR,Danaher Corporation Common Stock,$275.44 ,-1.49,-0.54%,1.98926E+11,1337443,Industrials,Industrial Machinery/Components
ABT,Abbott Laboratories Common Stock,$112.43 ,-0.3,-0.27%,1.95617E+11,3566352,Health Care,Biotechnology: Pharmaceutical Preparations
LYG,Lloyds Banking Group Plc American Depositary Shares,$3.14 ,-0.03,-0.95%,1.94238E+11,8919673,Finance,Commercial Banks
AXP,American Express Company Common Stock,$271.06 ,2.91,1.09%,1.927E+11,2231340,Finance,Finance: Consumer Services
TXN,Texas Instruments Incorporated Common Stock,$209.14 ,-0.12,-0.06%,1.90954E+11,3074441,Technology,Semiconductors
WFC,Wells Fargo & Company Common Stock,$55.90 ,-0.49,-0.87%,1.90271E+11,13529764,Finance,Major Banks
CAT,Caterpillar Inc. Common Stock,$391.08 ,0.12,0.03%,1.89634E+11,2683697,Industrials,Construction/Ag Equipment/Trucks
QCOM,QUALCOMM Incorporated Common Stock,$170.13 ,-2.53,-1.47%,1.89525E+11,5876097,Technology,Radio And Television Broadcasting And Communications Equipment
VZ,Verizon Communications Inc. Common Stock,$44.89 ,0.27,0.61%,1.88965E+11,15656647,Telecommunications,Telecommunications Equipment
PM,Philip Morris International Inc Common Stock,$120.62 ,-0.23,-0.19%,1.8754E+11,6046571,Health Care, Medicinal Chemicals and Botanical Products 
PDD,PDD Holdings Inc. American Depositary Shares,$135.38 ,5.98,4.62%,1.86266E+11,37228588,Consumer Discretionary,Business Services
TBC,AT&T Inc. 5.625% Global Notes due 2067,$25.45 ,0.06,0.24%,1.82483E+11,74261,Telecommunications,Telecommunications Equipment
NOW,ServiceNow Inc. Common Stock,$881.79 ,-3.07,-0.35%,1.81649E+11,906649,Technology,Computer Software: Prepackaged Software
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,$99.39 ,-1.53,-1.52%,1.77908E+11,715801,Consumer Staples,Beverages (Production/Distribution)
TBB,AT&T Inc. 5.350% Global Notes due 2066,$24.70 ,0.03,0.12%,1.77105E+11,137837,Telecommunications,Telecommunications Equipment
RY,Royal Bank Of Canada Common Stock,$124.26 ,-0.28,-0.23%,1.7576E+11,837105,Finance,Commercial Banks
DIS,Walt Disney Company (The) Common Stock,$96.01 ,0.81,0.85%,1.74123E+11,10152215,Consumer Discretionary,Services-Misc. Amusement & Recreation
NEE,NextEra Energy Inc. Common Stock,$84.54 ,1.08,1.29%,1.7376E+11,8198100,Technology,EDP Services
INTU,Intuit Inc. Common Stock,$619.03 ,-17.8,-2.80%,1.73509E+11,1425188,Technology,Computer Software: Prepackaged Software
AMGN,Amgen Inc. Common Stock,$322.67 ,3.57,1.12%,1.7338E+11,2432588,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ISRG,Intuitive Surgical Inc. Common Stock,$479.18 ,-7.15,-1.47%,1.70279E+11,1013347,Health Care,Industrial Specialties
AMAT,Applied Materials Inc. Common Stock,$204.92 ,-4.69,-2.24%,1.68937E+11,4521177,Technology,Semiconductors
MS,Morgan Stanley Common Stock,$104.11 ,-0.49,-0.47%,1.68436E+11,3112895,Finance,Investment Bankers/Brokers/Service
HSBC,HSBC Holdings plc. Common Stock,$45.62 ,-0.29,-0.63%,1.68007E+11,1072326,Finance,Savings Institutions
PFE,Pfizer Inc. Common Stock,$29.09 ,0.12,0.41%,1.64844E+11,24997618,Health Care,Biotechnology: Pharmaceutical Preparations
HDB,HDFC Bank Limited Common Stock,$64.35 ,-1.45,-2.20%,1.62954E+11,3254317,Finance,Commercial Banks
UL,Unilever PLC Common Stock,$65.44 ,0.2,0.31%,1.62938E+11,1392412,Consumer Discretionary,Package Goods/Cosmetics
CMCSA,Comcast Corporation Class A Common Stock,$41.64 ,0.62,1.51%,1.61251E+11,17491189,Telecommunications,Cable & Other Pay Television Services
SPGI,S&P Global Inc. Common Stock,$512.72 ,1.02,0.20%,1.60481E+11,806723,Finance,Finance: Consumer Services
RTX,RTX Corporation Common Stock,$120.39 ,0.07,0.06%,1.60148E+11,7941774,Industrials,Aerospace
UBER,Uber Technologies Inc. Common Stock,$75.75 ,-0.94,-1.23%,1.59146E+11,7578000,Consumer Discretionary,Business Services
GS,Goldman Sachs Group Inc. (The) Common Stock,$498.51 ,1.59,0.32%,1.57429E+11,1420057,Finance,Investment Bankers/Brokers/Service
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$62.01 ,1.1,1.81%,1.57204E+11,3577922,Energy,Coal Mining
T,AT&T Inc.,$21.90 ,0.25,1.16%,1.57028E+11,23554325,Telecommunications,Telecommunications Equipment
TTE,TotalEnergies SE,$66.15 ,0.48,0.73%,1.52249E+11,1373898,Energy,Oil & Gas Production
LOW,Lowe's Companies Inc. Common Stock,$267.14 ,1.53,0.58%,1.51547E+11,1852332,Consumer Discretionary,RETAIL: Building Materials
ARM,Arm Holdings plc American Depositary Shares,$145.58 ,-3.58,-2.40%,1.51451E+11,4364865,Technology,Semiconductors
UNP,Union Pacific Corporation Common Stock,$244.22 ,0.99,0.41%,1.48778E+11,1954514,Industrials,Railroads
PGR,Progressive Corporation (The) Common Stock,$251.10 ,-1.28,-0.51%,1.47061E+11,2011519,Finance,Property-Casualty Insurers
SNY,Sanofi ADS,$57.65 ,0.65,1.14%,1.45831E+11,2070183,Health Care,Biotechnology: Pharmaceutical Preparations
BKNG,Booking Holdings Inc. Common Stock,"$4,248.10 ",-20.84,-0.49%,1.42415E+11,162646,Consumer Discretionary,Transportation Services
BLK,BlackRock Inc. Common Stock,$945.21 ,0.19,0.02%,1.40013E+11,472502,Finance,Investment Bankers/Brokers/Service
LMT,Lockheed Martin Corporation Common Stock,$582.36 ,4.96,0.86%,1.3881E+11,847798,Industrials,Military/Government/Technical
SYK,Stryker Corporation Common Stock,$360.27 ,-1.08,-0.30%,1.3729E+11,814377,Health Care,Medical/Dental Instruments
HON,Honeywell International Inc. Common Stock,$207.63 ,0.6,0.29%,1.34891E+11,2454277,Industrials,Aerospace
NKE,Nike Inc. Common Stock,$89.44 ,0.05,0.06%,1.34103E+11,9173355,Consumer Discretionary,Shoe Manufacturing
TJX,TJX Companies Inc. (The) Common Stock,$117.50 ,-0.58,-0.49%,1.32525E+11,2998137,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ETN,Eaton Corporation PLC Ordinary Shares,$328.45 ,-4.57,-1.37%,1.30756E+11,2061177,Technology,Industrial Machinery/Components
RYAAY,Ryanair Holdings plc American Depositary Shares,$112.68 ,-5.02,-4.27%,1.28434E+11,753317,Consumer Discretionary,Air Freight/Delivery Services
BSX,Boston Scientific Corporation Common Stock,$83.35 ,0.27,0.33%,1.22743E+11,4915602,Health Care,Medical/Dental Instruments
COP,ConocoPhillips Common Stock,$104.72 ,2.41,2.36%,1.21606E+11,5489171,Energy,Integrated oil Companies
ELV,Elevance Health Inc. Common Stock,$523.95 ,3.67,0.71%,1.21497E+11,776015,Health Care,Medical Specialities
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$462.88 ,-0.27,-0.06%,1.1947E+11,710709,Health Care,Biotechnology: Pharmaceutical Preparations
ANET,Arista Networks Inc. Common Stock,$380.26 ,-6.04,-1.56%,1.1946E+11,1904009,Telecommunications,Computer Communications Equipment
MU,Micron Technology Inc. Common Stock,$107.50 ,-2.38,-2.17%,1.192E+11,42871481,Technology,Semiconductors
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,$10.13 ,-0.28,-2.69%,1.18797E+11,1929676,Finance,Commercial Banks
C,Citigroup Inc. Common Stock,$61.87 ,0.16,0.26%,1.18035E+11,8139430,Finance,Major Banks
SCHW,Charles Schwab Corporation (The) Common Stock,$64.42 ,0.58,0.91%,1.17846E+11,6521140,Finance,Investment Bankers/Brokers/Service
SONY,Sony Group Corporation American Depositary Shares ,$96.16 ,-2.49,-2.52%,1.17455E+11,837188,Consumer Staples,Consumer Electronics/Appliances
KKR,KKR & Co. Inc. Common Stock,$132.14 ,0.76,0.58%,1.17266E+11,2909299,Finance,Investment Managers
CB,Chubb Limited  Common Stock,$289.57 ,-0.27,-0.09%,1.16967E+11,865502,Finance,Property-Casualty Insurers
PLD,Prologis Inc. Common Stock,$125.59 ,0.36,0.29%,1.16285E+11,3775172,Real Estate,Real Estate Investment Trusts
ADI,Analog Devices Inc. Common Stock,$232.05 ,-0.41,-0.18%,1.15211E+11,2277800,Technology,Semiconductors
UPS,United Parcel Service Inc. Common Stock,$134.26 ,0.93,0.70%,1.15004E+11,4103995,Industrials,Trucking Freight/Courier Services
RACE,Ferrari N.V. Common Shares,$471.68 ,-6.35,-1.33%,1.14972E+11,207164,Consumer Discretionary,Auto Manufacturing
REGN,Regeneron Pharmaceuticals Inc. Common Stock,"$1,042.69 ",2.73,0.26%,1.1494E+11,659691,Health Care,Biotechnology: Pharmaceutical Preparations
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$65.99 ,0.47,0.72%,1.14638E+11,1355287,Consumer Staples,Beverages (Production/Distribution)
MDT,Medtronic plc. Ordinary Shares,$89.32 ,-0.13,-0.15%,1.14552E+11,5232451,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DE,Deere & Company Common Stock,$418.00 ,6.53,1.59%,1.14365E+11,1410832,Industrials,Industrial Machinery/Components
BX,Blackstone Inc. Common Stock,$154.94 ,1.47,0.96%,1.11569E+11,2170580,Finance,Investment Managers
ADP,Automatic Data Processing Inc. Common Stock,$272.88 ,-1.55,-0.57%,1.11279E+11,1581343,Technology,EDP Services
TD,Toronto Dominion Bank (The) Common Stock,$63.36 ,0.05,0.08%,1.10772E+11,1470763,Finance,Commercial Banks
SBUX,Starbucks Corporation Common Stock,$97.36 ,-0.11,-0.11%,1.10328E+11,6319856,Consumer Discretionary,Restaurants
MMC,Marsh & McLennan Companies Inc. Common Stock,$223.94 ,0.14,0.06%,1.10124E+11,2267151,Finance,Specialty Insurers
PANW,Palo Alto Networks Inc. Common Stock,$335.75 ,-2.98,-0.88%,1.0932E+11,1754073,Technology,Computer peripheral equipment
IBN,ICICI Bank Limited Common Stock,$30.60 ,-0.68,-2.17%,1.07654E+11,4492068,Finance,Commercial Banks
AMT,American Tower Corporation (REIT) Common Stock,$230.32 ,-1.45,-0.63%,1.07578E+11,3050969,Real Estate,Real Estate Investment Trusts
LRCX,Lam Research Corporation Common Stock,$827.12 ,-20.38,-2.41%,1.07423E+11,1389139,Technology,Industrial Machinery/Components
UBS,UBS Group AG Registered Ordinary Shares,$31.03 ,0.02,0.06%,1.07364E+11,1272117,Finance,Major Banks
KLAC,KLA Corporation Common Stock,$782.40 ,-22.15,-2.75%,1.05174E+11,627422,Technology,Electronic Components
MELI,MercadoLibre Inc. Common Stock,"$2,064.71 ",-35.5,-1.69%,1.04676E+11,321243,Consumer Discretionary,Business Services
GILD,Gilead Sciences Inc. Common Stock,$83.61 ,0.57,0.69%,1.04094E+11,5456698,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HCA,HCA Healthcare Inc. Common Stock,$403.28 ,-0.58,-0.14%,1.04076E+11,823099,Health Care,Hospital/Nursing Management
BMY,Bristol-Myers Squibb Company Common Stock,$50.91 ,0.79,1.58%,1.03215E+11,23016401,Health Care,Biotechnology: Pharmaceutical Preparations
FI,Fiserv Inc. Common Stock,$178.38 ,0.98,0.55%,1.02698E+11,2950170,Consumer Discretionary,Business Services
INTC,Intel Corporation Common Stock,$23.91 ,-0.01,-0.04%,1.02239E+11,85713943,Technology,Semiconductors
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$79.21 ,-1.54,-1.91%,1.02212E+11,3972832,Technology,Computer Software: Prepackaged Software
MDLZ,Mondelez International Inc. Class A Common Stock,$74.20 ,-0.12,-0.16%,99116189785,4697047,Consumer Staples,Packaged Foods
CI,The Cigna Group Common Stock,$347.70 ,2.71,0.79%,97199116717,1379576,Health Care,Medical Specialities
SHW,Sherwin-Williams Company (The) Common Stock,$382.73 ,-1.2,-0.31%,96546562730,1325919,Consumer Discretionary,RETAIL: Building Materials
BA,Boeing Company (The) Common Stock,$156.32 ,1.74,1.13%,96319251233,7620213,Industrials,Aerospace
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,$14.58 ,0.02,0.14%,94333600640,17114137,Energy,Oil & Gas Production
INFY,Infosys Limited American Depositary Shares,$22.39 ,-0.57,-2.48%,92960935655,9701988,Technology,EDP Services
SCCO,Southern Copper Corporation Common Stock,$118.87 ,-1.56,-1.30%,92856401355,1665458,Basic Materials,Metal Mining
ICE,Intercontinental Exchange Inc. Common Stock,$158.62 ,0.5,0.32%,91070418157,3329491,Finance,Investment Bankers/Brokers/Service
RIO,Rio Tinto Plc Common Stock,$71.23 ,0.48,0.68%,89228658241,2910636,Basic Materials,Metal Mining
RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),$47.56 ,-0.53,-1.10%,88727066461,495356,Consumer Discretionary,Business Services
ZTS,Zoetis Inc. Class A Common Stock,$194.81 ,-0.06,-0.03%,88258863362,1343665,Health Care,Biotechnology: Pharmaceutical Preparations
MO,Altria Group Inc.,$51.05 ,-0.04,-0.08%,87102751944,4599820,Health Care, Medicinal Chemicals and Botanical Products 
TT,Trane Technologies plc,$383.95 ,-2.62,-0.68%,86646085192,1195718,Industrials,Auto Parts:O.E.M.
ENB,Enbridge Inc Common Stock,$40.71 ,-0.07,-0.17%,86553154595,2622148,Energy,Natural Gas Distribution
MCO,Moody's Corporation Common Stock,$473.49 ,-0.54,-0.11%,86222529000,582625,Finance,Finance: Consumer Services
BP,BP p.l.c. Common Stock,$31.42 ,0.63,2.05%,85821161698,11494984,Energy,Integrated oil Companies
CL,Colgate-Palmolive Company Common Stock,$103.66 ,0.6,0.58%,84699253451,4461728,Consumer Discretionary,Package Goods/Cosmetics
DELL,Dell Technologies Inc. Class C Common Stock ,$120.22 ,-6.27,-4.96%,84440692962,13528073,Technology,Computer Manufacturing
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),$40.71 ,-0.19,-0.47%,84372719138,3137115,Health Care,Biotechnology: Pharmaceutical Preparations
EQIX,Equinix Inc. Common Stock REIT,$882.69 ,3.71,0.42%,83806996754,359025,Real Estate,Real Estate Investment Trusts
PLTR,Palantir Technologies Inc. Class A Common Stock,$36.84 ,-0.26,-0.70%,82501477403,43106911,Technology,Computer Software: Prepackaged Software
GD,General Dynamics Corporation Common Stock,$300.13 ,-0.36,-0.12%,82468994785,909188,Industrials,Marine Transportation
ABNB,Airbnb Inc. Class A Common Stock,$128.25 ,-1,-0.77%,82288209386,2522744,Finance,Diversified Commercial Services
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,$36.84 ,-0.98,-2.59%,81645062528,6566183,Health Care, Medicinal Chemicals and Botanical Products 
CTAS,Cintas Corporation Common Stock,$202.35 ,-4.66,-2.25%,81562372751,2332229,Consumer Discretionary,Apparel
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),$12.17 ,-0.73,-5.66%,81388644761,2496784,Finance,Commercial Banks
PH,Parker-Hannifin Corporation Common Stock,$632.77 ,-2.63,-0.41%,81371519439,580276,Industrials,Metal Fabrications
BN,Brookfield Corporation Class A Limited Voting Shares,$53.39 ,-0.03,-0.06%,80501279908,1973655,Real Estate,Building operators
CP,Canadian Pacific Kansas City Limited Common Shares,$85.44 ,-0.25,-0.29%,79726211534,1662199,Industrials,Railroads
PYPL,PayPal Holdings Inc. Common Stock,$77.88 ,-2.2,-2.75%,79619324647,11565918,Consumer Discretionary,Business Services
SAN,Banco Santander S.A. Sponsored ADR (Spain),$5.14 ,-0.03,-0.58%,79488324022,2600426,Finance,Commercial Banks
SNPS,Synopsys Inc. Common Stock,$513.31 ,-2.09,-0.41%,78851470933,528269,Technology,Computer Software: Prepackaged Software
TDG,Transdigm Group Incorporated Common Stock,"$1,402.88 ",1.65,0.12%,78717551012,184603,Industrials,Military/Government/Technical
CME,CME Group Inc. Class A Common Stock,$218.30 ,-0.17,-0.08%,78609126637,1840225,Finance,Investment Bankers/Brokers/Service
CMG,Chipotle Mexican Grill Inc. Common Stock,$57.34 ,-0.71,-1.22%,78525753840,9076310,Consumer Discretionary,Restaurants
ITW,Illinois Tool Works Inc. Common Stock,$263.97 ,1.97,0.75%,78372693000,1066439,Industrials,Industrial Machinery/Components
APH,Amphenol Corporation Common Stock,$65.02 ,-0.7,-1.07%,78302857841,6312783,Technology,Electrical Products
DEO,Diageo plc Common Stock,$140.77 ,0.43,0.31%,78247896982,836854,Consumer Staples,Beverages (Production/Distribution)
WELL,Welltower Inc. Common Stock,$127.20 ,0.65,0.51%,77483565943,2286011,Real Estate,Real Estate Investment Trusts
CVS,CVS Health Corporation Common Stock,$61.38 ,2.37,4.02%,77214767593,12509088,Consumer Staples,Retail-Drug Stores and Proprietary Stores
NOC,Northrop Grumman Corporation Common Stock,$526.79 ,2.48,0.47%,77040542623,528752,Industrials,Industrial Machinery/Components
TRI,Thomson Reuters Corp Common Shares,$169.76 ,-1.51,-0.88%,76343212843,191291,Consumer Discretionary,Publishing
AON,Aon plc Class A Ordinary Shares (Ireland),$347.67 ,0.53,0.15%,75528582115,526454,Finance,Specialty Insurers
MMM,3M Company Common Stock,$137.30 ,-2.14,-1.54%,75426252163,2955505,Health Care,Medical/Dental Instruments
CDNS,Cadence Design Systems Inc. Common Stock,$274.13 ,-0.1,-0.04%,75062276600,1180695,Technology,Computer Software: Prepackaged Software
MSI,Motorola Solutions Inc. Common Stock,$446.36 ,-1.75,-0.39%,74471148314,515611,Technology,Radio And Television Broadcasting And Communications Equipment
FCX,Freeport-McMoRan Inc. Common Stock,$51.34 ,-0.57,-1.10%,73768203263,15966220,Basic Materials,Metal Mining
EQNR,Equinor ASA,$24.99 ,0.8,3.31%,73588881269,3224995,Energy,Integrated oil Companies
CNI,Canadian National Railway Company Common Stock,$116.43 ,-0.34,-0.29%,73292685000,1051119,Industrials,Railroads
SPOT,Spotify Technology S.A. Ordinary Shares,$369.20 ,-9.96,-2.63%,72785339219,2903752,Consumer Discretionary,Broadcasting
PNC,PNC Financial Services Group Inc. (The) Common Stock,$183.07 ,-0.25,-0.14%,72769641234,925647,Finance,Major Banks
CARR,Carrier Global Corporation Common Stock ,$80.52 ,0.74,0.93%,72689585323,2822889,Industrials,Industrial Machinery/Components
ECL,Ecolab Inc. Common Stock,$254.59 ,-1.17,-0.46%,72440431657,772579,Consumer Discretionary,Package Goods/Cosmetics
APO,Apollo Global Management Inc. (New) Common Stock,$125.81 ,0.31,0.25%,71653106635,2293259,Finance,Investment Managers
TGT,Target Corporation Common Stock,$155.18 ,-0.8,-0.51%,71487494670,3067192,Consumer Discretionary,Department/Specialty Retail Stores
MAR,Marriott International Class A Common Stock,$253.04 ,2.33,0.93%,71236520709,1238388,Consumer Discretionary,Hotels/Resorts
USB,U.S. Bancorp Common Stock,$45.48 ,0.18,0.40%,70972178221,6883456,Finance,Major Banks
CNQ,Canadian Natural Resources Limited Common Stock,$33.21 ,0.57,1.75%,70893652680,5433529,Energy,Oil & Gas Production
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$285.86 ,4.38,1.56%,70071838421,2892949,Technology,Computer Software: Prepackaged Software
BDX,Becton Dickinson and Company Common Stock,$241.51 ,4.24,1.79%,69806634371,1284525,Health Care,Medical/Dental Instruments
EOG,EOG Resources Inc. Common Stock,$122.44 ,2.07,1.72%,69619331473,3272683,Energy,Oil & Gas Production
CSX,CSX Corporation Common Stock,$34.53 ,0.63,1.86%,66944680494,11446636,Industrials,Railroads
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,$54.44 ,-0.36,-0.66%,66937768861,882858,Finance,Major Banks
APD,Air Products and Chemicals Inc. Common Stock,$300.36 ,0.9,0.30%,66774383821,1057091,Industrials,Major Chemicals
ORLY,O'Reilly Automotive Inc. Common Stock,"$1,146.03 ",-13.59,-1.17%,66476231114,334601,Consumer Discretionary,Auto & Home Supply Stores
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),$6.78 ,0.03,0.44%,66449875955,24774591,Finance,Major Banks
NU,Nu Holdings Ltd. Class A Ordinary Shares,$13.87 ,0.05,0.36%,66103548326,31760962,Finance,Finance: Consumer Services
BMO,Bank Of Montreal Common Stock,$90.43 ,-0.34,-0.38%,65960851592,420839,Finance,Commercial Banks
FDX,FedEx Corporation Common Stock,$267.55 ,1.22,0.46%,65368742793,1818230,Consumer Discretionary,Air Freight/Delivery Services
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$11.07 ,-0.07,-0.63%,64626000007,930886,Finance,Commercial Banks
WDAY,Workday Inc. Class A Common Stock,$243.62 ,-1.81,-0.74%,64559300000,1237866,Technology,EDP Services
ING,ING Group N.V. Common Stock,$18.34 ,-0.24,-1.29%,64156886561,1533832,Finance,Commercial Banks
MCK,McKesson Corporation Common Stock,$488.25 ,9.19,1.92%,63314679047,1001612,Health Care,Other Pharmaceuticals
